name,vote_pct,address,gauge,token0,token1,emissions_token,emissions_decimals,token0_decimals,token1_decimals,token0_fees_raw,token1_fees_raw,token0_fees,token1_fees,fees_raw,emissions_raw,votes_raw,votes,ratio,tfv,tbv,tvv,rewards_epoch_ts
vAMM-tBTC/USDbC,0.0023922122903910427,0x723AEf6543aecE026a15662Be4D3fb3424D502A9,0x50f0249B824033Cf0AF0C8b9fe1c67c2842A34d5,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,18382040398263,1969106,1.8382040398263e-05,1.969106,18382042367369,147610245325909,21560287346673756194022,21560.287346673755,1.0906397777498884e-21,23.514507,0,23.514507,1763596800
vAMM-tBTC/WETH,0.0020916421663187755,0x2722C8f9B5E2aC72D1f225f8e8c990E449ba0078,0xfaE8C18D83655Fbf31af10d2e9A1Ad5bA77D0377,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,0x4200000000000000000000000000000000000006,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,5290053021945,478914969770357,5.290053021945e-06,0.000478914969770357,484205022792302,129063718359987,18851339537629540072181,18851.33953762954,0.0,0.0,0,0.0,1763596800
vAMM-T/WETH,4.3998234706734234e-07,0xAf58FDeE432a104a932a899968d60F92838886cd,0xaD3d4aFd779e4A57734557CcE25F87032614fE47,0x26f3901aC8a79c50fb0d8289C74f0d09AdC42E29,0x4200000000000000000000000000000000000006,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,3754994155587413173733,3784191365787958,3754.9941555874134,0.003784191365787958,3754997939778778961691,0,3965428096970939228,3.9654280969709395,0.0,0,0,0,0
vAMM-EXTRA/USDbC,3.476488584160011e-05,0x2B7704f1cb9324cD8586B33C6c540CbD64E58237,0xf05a3De3dD6910042f506c6105bC14920C4289B6,0x2dAD3a13ef0C6366220f989157009e501e7938F8,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,1504750661581978935064,27873646,1504.7506615819789,27.873646,1504750661582006808710,0,313325423220146093721,313.3254232201461,0.0,0,0,0,0
sAMM-DOLA/USDbC,0.0003515979251411912,0x0B25c51637c43decd6CC1C1e3da4518D54ddb528,0xeAE066C25106006fB386A3a8b1698A0cB6931c1a,0x4621b7A9c75199271F773Ebd9A499dbd165c3191,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,450803626129431163,2166,0.45080362612943115,0.002166,450803626129433329,21695171534165,3168845978673246350681,3168.8459786732465,0.0,0,0,0,1763596800
vAMM-WETH/UNIDX,1.4126915676309926e-05,0xA819Af1CC8AbE618eA8abaDeb464960F7451CEAB,0x98F44CE76BDCaD37f00a98B275631B1D796862fa,0x4200000000000000000000000000000000000006,0x6B4712AE9797C199edd44F897cA09BC57628a1CF,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,66823661948394729,226280812544630434820,0.06682366194839473,226.28081254463044,226347636206578829549,0,127321627151110355016,127.32162715111036,0.0,0,0,0,0
vAMM-ERN/stERN,4.824549763476078e-05,0x218F511431194B2C756D67a137DE536beA74E498,0x109Cc0f2640457b2A483C2eef189827750A676bB,0xa334884bF6b0A066d553D19e507315E839409e62,0xf7A0dd3317535eC4f4d29ADF9d620B3d8D5D5069,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,181359347033154830,85354254514319397,0.18135934703315482,0.0853542545143194,266713601547474227,0,434822108542330684198,434.8221085423307,0.0,0,0,0,0
sAMM-MAI/USDbC,3.093890991335977e-05,0xf6Aec4F97623E691a9426a69BaF5501509fCa05D,0xC01E2ff20501839db7B28F5Cb3eD2876fEa3d6b1,0xbf1aeA8670D2528E08334083616dD9C5F3B087aE,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,29524263189854410490,7555701,29.52426318985441,7.555701,29524263189861966191,0,278843056949536182548,278.8430569495362,0.0,0,0,0,0
sAMM-DOLA/MAI,7.31916679680635e-05,0x8b432C54d6e8E1B8D1802753514AB53044Af1861,0xDe23611176b16720346f4Df071D1aA01752c68C1,0x4621b7A9c75199271F773Ebd9A499dbd165c3191,0xbf1aeA8670D2528E08334083616dD9C5F3B087aE,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,8363096467069712809,9974993624681869241,8.363096467069713,9.974993624681868,18338090091751582050,0,659654412408287255581,659.6544124082873,0.0,0,0,0,0
vAMM-USDbC/STG,6.718774498748095e-08,0xb680190fB16f417647e69D6A84719aE9c7E5E20a,0x9a8D9F5C698C1F2B0d48a955BC531F2c7D67Af84,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0xE3B53AF74a4BF62Ae5511055290838050bf764Df,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,6,18,56110669,309733058107840850799,56.110669,309.73305810784086,309733058107896961468,0,605542866711187967,0.605542866711188,0.0,0,0,0,0
